carat,cut,color,clarity,depth,table,x,y,z,price,index,0.799233891
0.4,Premium,G,SI1,59.4,60,4.85,4.82,2.87,870,34557,0.755391527
0.62,Ideal,F,VS1,62.3,56,5.43,5.46,3.39,2073,49169,0.550377979
0.54,Ideal,G,VVS2,61.4,55,5.28,5.31,3.25,2424,51856,0.775939472
0.51,Premium,F,SI2,58.9,60,5.24,5.19,3.07,1195,41112,0.420039296
0.53,Very Good,D,VVS2,57.5,64,5.34,5.37,3.08,2782,220,0.607526373
0.28,Good,E,VVS1,64.6,55,4.15,4.18,2.69,492,39949,0.323191411
0.7,Very Good,E,SI2,59.5,56,5.79,5.81,3.45,2281,50585,0.355577192
0.56,Ideal,G,SI2,61,57,5.34,5.32,3.25,1127,40331,0.924425966
0.52,Premium,F,SI1,61.1,59,5.21,5.17,3.17,1370,43021,0.30983983
0.34,Premium,F,VS2,61.2,59,4.52,4.47,2.75,880,34919,0.097636543
0.8,Premium,F,VS1,60.5,59,6,6.03,3.64,3813,5352,0.778915245
0.3,Ideal,F,VS2,61.6,57,4.32,4.28,2.65,776,31948,0.151806199
0.71,Premium,D,SI1,61.4,58,5.75,5.79,3.54,2913,1101,0.152787741
1.51,Good,I,SI1,63.8,57,7.21,7.18,4.59,6046,15013,0.91735263
1.11,Premium,F,SI1,60.4,58,6.68,6.66,4.03,4699,9958,0.597856044
0.41,Ideal,E,VVS1,60.9,55,4.83,4.8,2.93,1431,43576,0.16358633
1.51,Very Good,J,VS1,61.4,57,7.3,7.38,4.51,8057,19390,0.402076475
0.33,Ideal,E,VVS1,60.2,57,4.5,4.47,2.7,1052,38900,0.868948163
1.17,Very Good,H,SI1,59.6,62,6.88,6.82,4.08,6336,15841,0.794620692
0.31,Very Good,H,VVS1,61.9,58,4.32,4.34,2.68,707,29715,0.318823033
1.33,Premium,H,SI2,61,59,7.1,7.06,4.32,5437,13144,0.245647989
0.33,Ideal,D,SI2,61.1,57,4.47,4.5,2.74,492,40264,0.310711745
2.02,Good,I,VS2,57.9,62,8.25,8.3,4.79,16789,26864,0.614562314
1.24,Premium,H,VS2,61.7,59,6.91,6.84,4.24,6962,17350,0.615653762
1,Very Good,G,VVS1,63.4,57,6.33,6.36,4.02,8115,19479,0.323158636
1.13,Very Good,J,VS2,62,59,6.62,6.66,4.12,4206,7312,0.846682183
1.1,Premium,H,VS2,61.2,58,6.75,6.64,4.1,5805,14336,0.84191319
0.5,Premium,G,VS1,59.4,60,5.17,5.13,3.06,1746,46152,0.801681702
0.78,Ideal,D,SI1,62.4,57,5.87,5.89,3.67,3035,1703,0.369015071
0.37,Premium,D,SI1,62.2,58,4.62,4.58,2.86,874,34718,0.393098569
1.66,Premium,J,SI1,60.7,58,7.72,7.63,4.66,8487,19940,0.057987757
0.92,Premium,H,SI2,60.4,59,6.36,6.33,3.83,3174,2358,0.3167158
1.52,Premium,F,VS2,62.2,58,7.38,7.29,4.56,12985,24647,0.188415967
2.18,Ideal,I,SI2,62.5,55,8.31,8.34,5.2,15706,26253,0.135044775
1.5,Good,H,SI2,64,61,7.18,7.14,4.58,5208,12266,0.637165394
1.14,Very Good,G,SI2,62.4,60,6.6,6.67,4.14,4875,10862,0.023020641
0.53,Ideal,H,VVS1,62.4,54,5.18,5.2,3.24,1743,46113,0.130323823
1.01,Good,D,SI2,64.5,58,6.18,6.26,4.01,4606,9489,0.522416663
0.51,Very Good,G,VS1,59.6,58,5.21,5.22,3.11,1741,46100,0.571002868
1.31,Premium,H,SI2,61.7,59,7.03,6.98,4.32,4548,9197,0.827885396
0.7,Premium,F,VS1,60.8,62,5.71,5.67,3.46,2874,890,0.804720583
1.01,Ideal,F,VS2,60.3,56,6.5,6.56,3.94,6672,16757,0.737213302
0.91,Premium,E,SI2,61.6,60,6.14,6.1,3.77,3846,5507,0.175002346
