carat,depth,table,x,y,z,price,cut,color,clarity
2.01,58.6,95,8.32,8.31,4.87,13387,Fair,F,SI1
0.81,68.8,79,5.26,5.2,3.58,2301,Fair,F,SI2
0.79,65.3,76,5.52,5.13,3.35,2362,Fair,G,SI1
0.7,62,73,5.65,5.54,3.47,2100,Fair,H,VS1
0.71,55.6,73,6.01,5.96,3.33,2368,Fair,D,VS2
0.5,79,73,5.21,5.18,4.09,2579,Fair,E,VS2
0.5,79,73,5.21,5.18,4.09,2579,Fair,E,VS2
0.68,58,71,5.85,5.7,3.35,1633,Fair,G,SI1
0.76,59,70,5.89,5.8,3.46,2800,Fair,G,VS1
0.75,55.8,70,6.09,5.98,3.37,2859,Fair,F,VS1
1.51,58.4,70,7.55,7.39,4.36,11102,Fair,E,SI1
0.56,52.7,70,5.71,5.57,2.97,1293,Fair,H,VS2
0.67,57.2,70,5.82,5.75,3.31,1436,Fair,I,VS2
0.71,62.1,70,5.67,5.6,3.5,1832,Fair,H,VS2
0.76,61.9,70,5.84,5.77,3.59,2328,Fair,H,SI1
0.71,59.8,70,5.89,5.72,3.48,2458,Fair,F,SI1
0.82,56.7,70,6.28,6.16,3.53,2508,Fair,F,SI2
0.86,55.1,69,6.45,6.33,3.52,2757,Fair,E,SI2
0.72,56.9,69,5.93,5.77,3.33,2879,Fair,F,VS1
1.44,58.1,69,7.49,7.34,4.32,7338,Fair,H,VS1
1.53,57.7,69,7.6,7.51,4.36,8996,Fair,I,VS2
1.98,58.3,69,8.28,8.17,4.8,12923,Fair,H,VS1
2.1,59.5,69,8.35,8.25,4.94,16506,Fair,F,SI2
0.5,62.4,69,5.07,4.99,3.14,1122,Fair,H,VS2
0.64,55.3,69,5.85,5.69,3.19,1411,Fair,I,VS2
0.76,55.5,69,6.16,6.07,3.39,2518,Fair,D,SI2
0.74,61.1,68,5.82,5.75,3.53,2805,Fair,F,VS2
0.9,57.5,68,6.37,6.33,3.65,3187,Fair,E,SI2
1.17,59.2,68,6.91,6.84,4.07,3833,Fair,I,SI2
1,57.4,68,6.52,6.47,3.73,4368,Fair,H,VS1
1.45,58.6,68,7.45,7.33,4.34,4570,Fair,J,SI2
1,63.1,68,6.32,6.17,3.94,4892,Fair,G,VS1
1.01,59.1,68,6.56,6.44,3.84,5797,Fair,D,VS2
1.5,59.9,68,7.39,7.3,4.4,8190,Fair,E,SI2
1,56.7,68,6.66,6.64,3.77,10752,Fair,D,VVS1
2,58.5,68,8.26,8.15,4.8,11322,Fair,I,VS1
1.91,59.5,68,8.1,7.91,4.78,12244,Fair,I,VS1
2,59.8,68,8.13,7.95,4.81,12610,Fair,F,SI2
0.46,63.4,68,4.88,4.8,3.07,911,Fair,G,SI1
0.5,61.7,68,5.09,5.03,3.12,1238,Fair,E,SI1
0.49,57.5,68,5.18,5.11,2.96,1249,Fair,D,VS2
0.5,62.9,68,5.02,4.96,3.14,1348,Fair,F,VS1
0.7,58.7,68,5.77,5.72,3.37,1723,Fair,E,SI2
0.74,58.8,68,5.91,5.8,3.44,1982,Fair,J,VS1
0.71,57,68,6.05,5.87,3.4,2198,Fair,F,SI1
0.71,60.1,68,5.8,5.72,3.46,2327,Fair,F,SI2
0.72,56.5,68,6.03,5.89,3.37,2608,Fair,H,VVS2
0.84,55.1,67,6.39,6.2,3.47,2782,Fair,G,SI1
0.91,61.3,67,6.24,6.19,3.81,2825,Fair,H,SI2
0.98,53.3,67,6.82,6.74,3.61,2855,Fair,E,SI2
0.75,56,67,6.18,6.08,3.43,2940,Fair,E,VS2
0.99,58,67,6.57,6.5,3.79,2949,Fair,J,SI1
0.85,57.7,67,6.26,6.19,3.59,2998,Fair,G,VS1
1,64.6,67,6.25,6.19,4.02,3142,Fair,G,SI2
0.96,57.7,67,6.49,6.46,3.73,3674,Fair,E,SI2
1.01,58.7,67,6.52,6.56,3.84,3816,Fair,G,SI2
0.9,58.9,67,6.18,6.17,3.64,3992,Fair,F,VS2
1,59,67,6.48,6.41,3.8,4036,Fair,F,SI2
0.94,56.8,67,6.56,6.44,3.69,4053,Fair,F,SI1
0.91,56.5,67,6.38,6.4,3.61,4115,Fair,H,VVS1
1.45,64.8,67,7.16,7,4.64,4320,Fair,F,I1
0.9,59.5,67,6.29,6.24,3.73,4536,Fair,F,VS2
1.13,55.9,67,7.05,6.94,3.9,4695,Fair,I,VS2
0.93,56.3,67,6.52,6.45,3.65,5078,Fair,D,VS2
1,58.7,67,6.47,6.45,3.79,5853,Fair,G,VS1
1.14,57.5,67,0,0,0,6381,Fair,G,VS1
1.16,57.8,67,6.97,6.84,3.99,7094,Fair,F,VS1
1.24,55.6,67,7.27,7.11,4,7291,Fair,D,SI1
1.51,58.1,67,7.59,7.49,4.38,10553,Fair,G,VS2
1.51,58,67,7.63,7.57,4.41,11263,Fair,H,VS1
0.36,55.3,67,4.79,4.72,2.63,810,Fair,F,VS1
0.5,58,67,5.26,5.17,3.02,851,Fair,E,SI2
0.3,51,67,4.67,4.62,2.37,945,Fair,E,VVS2
0.4,59.9,67,4.81,4.77,2.87,960,Fair,G,SI1
0.5,61.1,67,5.07,5.04,3.09,1156,Fair,F,SI2
0.67,56,67,5.81,5.78,3.25,1642,Fair,F,SI1
0.53,62.3,67,5.22,5.11,3.22,1778,Fair,E,VS1
0.5,62.9,67,5.02,4.96,3.14,1791,Fair,G,VVS2
0.56,57,67,5.49,5.36,3.09,1814,Fair,F,VS2
0.71,61.6,67,5.76,5.61,3.5,1840,Fair,I,VS2
0.7,62,67,5.54,5.5,3.42,1848,Fair,I,SI1
0.75,61.9,67,5.8,5.7,3.56,1869,Fair,J,VS1
0.73,61.3,67,5.77,5.64,3.51,1892,Fair,I,SI2
0.6,57.9,67,5.66,5.47,3.23,2167,Fair,G,VVS2
0.62,58.8,67,5.66,5.57,3.29,2344,Fair,E,VS1
0.97,60.8,67,6.41,6.32,3.87,2538,Fair,J,SI2
0.88,57.4,67,6.49,6.36,3.69,2550,Fair,I,VS2
0.78,54.7,67,6.25,6.15,3.4,2691,Fair,H,VS2
0.71,57.3,67,5.96,5.76,3.36,2707,Fair,F,VS1
0.7,58.8,66,5.81,5.9,3.44,2797,Fair,G,VVS1
0.57,58.7,66,5.34,5.43,3.16,2805,Fair,E,VVS1
0.9,64.1,66,6.04,5.98,3.85,2921,Fair,I,VS2
0.98,61.6,66,6.46,6.24,3.92,2958,Fair,F,SI2
1.06,61,66,6.54,6.35,3.93,2992,Fair,J,SI2
0.73,58.6,66,5.92,5.88,3.46,3002,Fair,F,VS1
1.2,62.2,66,6.77,6.7,4.2,3011,Fair,I,I1
0.91,62.5,66,6.08,6.01,3.78,3079,Fair,D,SI2
0.95,58,66,6.5,6.46,3.76,3154,Fair,J,SI1
0.9,60.9,66,6.1,6.12,3.72,3288,Fair,I,VVS2
